 [849]: -15.0, Avg: -13.22, Max: -6.0, Best_avg: -13.22
 [859]: -14.0, Avg: -14.78, Max: -6.0, Best_avg: -13.22
 [869]: -17.0, Avg: -15.44, Max: -6.0, Best_avg: -13.22
 [879]: -19.0, Avg: -11.89, Max: -5.0, Best_avg: -11.89
 [889]: -13.0, Avg: -13.33, Max: -5.0, Best_avg: -11.89
 [899]: -10.0, Avg: -15.33, Max: -5.0, Best_avg: -11.89
 [909]: -13.0, Avg: -14.00, Max: -5.0, Best_avg: -11.89
 [919]: -16.0, Avg: -11.67, Max: -5.0, Best_avg: -11.67
 [929]: -9.0, Avg: -13.00, Max: -5.0, Best_avg: -11.67
 [939]: -13.0, Avg: -12.78, Max: -5.0, Best_avg: -11.67
 [949]: -14.0, Avg: -12.67, Max: -5.0, Best_avg: -11.67
 [959]: -14.0, Avg: -11.56, Max: -5.0, Best_avg: -11.56
 [969]: -10.0, Avg: -13.44, Max: -5.0, Best_avg: -11.56
 [979]: -10.0, Avg: -13.22, Max: -5.0, Best_avg: -11.56
 [989]: -16.0, Avg: -10.67, Max: -5.0, Best_avg: -10.67
 [999]: -14.0, Avg: -12.22, Max: -5.0, Best_avg: -10.67
 [1009]: -14.0, Avg: -13.44, Max: -5.0, Best_avg: -10.67
 [1019]: -12.0, Avg: -12.44, Max: -2.0, Best_avg: -10.67
 [1029]: -6.0, Avg: -10.56, Max: -2.0, Best_avg: -10.56
 [1039]: -9.0, Avg: -11.89, Max: -2.0, Best_avg: -10.56
 [1049]: -8.0, Avg: -12.44, Max: -2.0, Best_avg: -10.56
 [1059]: -13.0, Avg: -11.11, Max: -2.0, Best_avg: -10.56
 [1069]: -10.0, Avg: -10.56, Max: -2.0, Best_avg: -10.56
 [1079]: -15.0, Avg: -9.00, Max: -2.0, Best_avg: -9.00
 [1089]: -11.0, Avg: -10.78, Max: -2.0, Best_avg: -9.00
 [1099]: -13.0, Avg: -11.78, Max: -2.0, Best_avg: -9.00
 [1109]: -5.0, Avg: -9.44, Max: -2.0, Best_avg: -9.00
 [1119]: -9.0, Avg: -11.22, Max: -2.0, Best_avg: -9.00
 [1129]: -15.0, Avg: -10.00, Max: -2.0, Best_avg: -9.00
 [1139]: -12.0, Avg: -7.67, Max: 2.0, Best_avg: -7.67
 [1149]: -13.0, Avg: -11.67, Max: 2.0, Best_avg: -7.67
 [1159]: -4.0, Avg: -11.67, Max: 2.0, Best_avg: -7.67
 [1169]: -12.0, Avg: -9.89, Max: 2.0, Best_avg: -7.67
 [1179]: -13.0, Avg: -10.00, Max: 2.0, Best_avg: -7.67
 [1189]: -12.0, Avg: -10.33, Max: 2.0, Best_avg: -7.67
 [1199]: -13.0, Avg: -8.56, Max: 2.0, Best_avg: -7.67
 [1209]: -12.0, Avg: -10.67, Max: 2.0, Best_avg: -7.67
 [1219]: -5.0, Avg: -9.56, Max: 2.0, Best_avg: -7.67
 [1229]: -5.0, Avg: -9.78, Max: 2.0, Best_avg: -7.67
 [1239]: -13.0, Avg: -10.22, Max: 2.0, Best_avg: -7.67
 [1249]: -12.0, Avg: -10.56, Max: 2.0, Best_avg: -7.67
 [1259]: -7.0, Avg: -10.67, Max: 2.0, Best_avg: -7.67
 [1269]: -8.0, Avg: -9.56, Max: 2.0, Best_avg: -7.67
 [1279]: -9.0, Avg: -7.56, Max: 2.0, Best_avg: -7.56
 [1289]: -8.0, Avg: -8.67, Max: 2.0, Best_avg: -7.56
 [1299]: -12.0, Avg: -9.33, Max: 2.0, Best_avg: -7.56
 [1309]: -10.0, Avg: -12.56, Max: 2.0, Best_avg: -7.56
 [1319]: -15.0, Avg: -9.44, Max: 2.0, Best_avg: -7.56
 [1329]: -12.0, Avg: -9.00, Max: 2.0, Best_avg: -7.56
 [1339]: -9.0, Avg: -9.89, Max: 2.0, Best_avg: -7.56
 [1349]: -13.0, Avg: -8.67, Max: 2.0, Best_avg: -7.56
